score,axe_detecte,dutreil_probable,signaux_dutreil,denomination,raison_sociale,siren,siret_siege,naf,naf_libelle,categorie,tranche_effectif,tranche_effectif_libelle,annee_effectif,etablissements_ouverts,date_creation,date_maj_rne,adresse_siege,code_postal,commune,departement,siege_dans_zone,dirigeants,dirigeant_age_max,nature_juridique,tel_portable,tel_fixe,email,url_pappers,url_societe,statut_suivi,prochaine_action
9,METROLOGIE,non,,DEXTRAN METROLOGIE SARL (DEXTRAN METROLOGIE),DEXTRAN METROLOGIE SARL,394790729,39479072900054,71.20B,"Analyses, essais et inspections techniques",PME,12,20 à 49 salariés,2023,1,1994-04-15,2024-05-19T17:01:20,PARC CASTELNAU 2000 223 AVENUE CLEMENT ADER 34170 CASTELNAU-LE-LEZ,34170,CASTELNAU-LE-LEZ,34,oui,MONIQUE GINETTE FAURY (92 ans) — Gérant ; DENIS BRUNO MARIE PICHARD (58 ans) — Gérant,92,5499,,,,https://www.pappers.fr/entreprise/394790729,https://www.societe.com/societe/-394790729.html,Identifié,Qualifier le fit métier (LinkedIn + site web)
8,CND?,non,,ANADIAG (ANADIAG INTERNATIONAL),ANADIAG,352615314,35261531400031,71.20B,"Analyses, essais et inspections techniques",PME,21,50 à 99 salariés,2023,3,1989-12-01,2024-05-19T17:01:20,16 RUE AMPERE 67500 HAGUENAU,67500,HAGUENAU,67,oui,PIERRE-PHILIPPE DEBARD (60 ans) — Commissaire aux comptes suppléant ; ERIC PUY (69 ans) — Président de SAS ; COMMISSARIAT FINANCES REVISION (SIREN 384020723) — Commissaire aux comptes titulaire,69,5710,,,,https://www.pappers.fr/entreprise/352615314,https://www.societe.com/societe/-352615314.html,Identifié,Qualifier le fit métier (LinkedIn + site web)
8,CND?,non,,BIOMEDIQA,BIOMEDIQA,479267569,47926756900032,71.20B,"Analyses, essais et inspections techniques",PME,12,20 à 49 salariés,2023,1,2004-10-01,2024-05-19T17:01:20,ACTIBURO 99 RUE PARMENTIER 59650 VILLENEUVE-D'ASCQ,59650,VILLENEUVE-D'ASCQ,59,oui,FOUAD MAALOUL (60 ans) — Président de SAS ; BENOIT VANDERSCHELDEN (66 ans) — Commissaire aux comptes suppléant ; AEQUITAS AUDIT - SOCIETE DE COMMISSARIAT AUX COMPTES (SIREN 046350088) — Commissaire aux comptes titulaire,66,5710,,,,https://www.pappers.fr/entreprise/479267569,https://www.societe.com/societe/-479267569.html,Identifié,Qualifier le fit métier (LinkedIn + site web)
8,CND?,non,,CENTRE D'ANALYSES MEDITERRANEE PYRENEES (CAMP),CENTRE D'ANALYSES MEDITERRANEE PYRENEES,431233451,43123345100019,71.20B,"Analyses, essais et inspections techniques",PME,12,20 à 49 salariés,2023,2,2000-04-01,2024-05-19T17:01:20,TECNOSUD RAMBLA DE LA THEMODYNAMIQUE 66000 PERPIGNAN,66000,PERPIGNAN,66,oui,VINCENT MARIE ANTOINE COPIN (70 ans) — Administrateur ; CHAMBRE DE COMMERCE ET D'INDUSTRIE DE PERPIGNAN ET DES PYRENEES ORIENTALES (SIREN 186600029) — Administrateur ; CHAMBRE D'AGRICULTURE DES P.O. (SIREN 186600037) — Administrateur ; UNIVERSITE DE PERPIGNAN (SIREN 196604375) — Vice-Président ; SYNDICAT DES IMPORTATEURS DE SAINT CHARLES (SIREN ) — ,70,4140,,,,https://www.pappers.fr/entreprise/431233451,https://www.societe.com/societe/-431233451.html,Identifié,Qualifier le fit métier (LinkedIn + site web)
8,CND?,non,,ECOGOM (ECOGOM),ECOGOM,390580884,39058088400059,71.20B,"Analyses, essais et inspections techniques",PME,12,20 à 49 salariés,2023,6,1993-02-12,2024-05-19T17:01:20,135 IMPASSE DU CRATERE 62580 THELUS,62580,THELUS,62,oui,PIERRE BESNARD (77 ans) — Commissaire aux comptes titulaire ; CECOFRANCE (SIREN 0) —  ; MAGADA (SIREN 810060475) — Président de SAS ; CECOFRANCE (SIREN ) — Commissaire aux comptes suppléant,77,5710,,,,https://www.pappers.fr/entreprise/390580884,https://www.societe.com/societe/-390580884.html,Identifié,Qualifier le fit métier (LinkedIn + site web)
8,CND?,non,,EXPERTISES-PLANTATIONS-SECURITE-DEVELOPPEMENT,EXPERTISES-PLANTATIONS-SECURITE-DEVELOPPEMENT,878310911,87831091100010,71.20B,"Analyses, essais et inspections techniques",PME,12,20 à 49 salariés,2023,1,2019-09-23,2024-05-19T17:01:20,72 RUE CASSIOPEE 74650 CHAVANOD,74650,CHAVANOD,74,oui,ERIC DANIEL LAFORE (LAFORE) (54 ans) — Directeur Général ; STEPHANE LAFORE (LAFORE) (60 ans) — Président de SAS ; CONSULT'EC (SIREN 518764915) — ,60,5710,,,,https://www.pappers.fr/entreprise/878310911,https://www.societe.com/societe/-878310911.html,Identifié,Qualifier le fit métier (LinkedIn + site web)
8,CND?,non,,INTEST,INTEST,430043612,43004361200042,71.20B,"Analyses, essais et inspections techniques",PME,12,20 à 49 salariés,2023,1,2000-03-01,2024-05-19T17:01:20,4 ALLEE DU LEVANT 69890 LA TOUR-DE-SALVAGNY,69890,LA TOUR-DE-SALVAGNY,69,oui,STEPHANE BARTHES (56 ans) — Administrateur ; LIONEL CLAUDE CHAZALLON (53 ans) — Administrateur ; STEPHANE RENAUD EMILE GUILLARD (60 ans) — Administrateur ; VERONIQUE MARIE-NOELLE BOUVIER (HALFON) (60 ans) — Administrateur ; INTECH (SIREN 429745961) — Directeur Général ; SOFAGEC (SIREN 452736184) — Commissaire aux comptes titulaire ; INVOLVE (SIREN 983851809) — Directeur Général,60,5710,,,,https://www.pappers.fr/entreprise/430043612,https://www.societe.com/societe/-430043612.html,Identifié,Qualifier le fit métier (LinkedIn + site web)
8,CND?,non,,KEYBIO,KEYBIO,384238523,38423852300037,71.20B,"Analyses, essais et inspections techniques",PME,12,20 à 49 salariés,2023,1,1992-02-01,2024-05-19T17:01:20,ZAC ATHELIA V 539 AVENUE DU MISTRAL 13600 LA CIOTAT,13600,LA CIOTAT,13,oui,ALINE GATEAU (FREDERIC) (61 ans) — Directeur général délégué ; JEAN JEROME LUCCHINI (65 ans) — Directeur Général ; DANIEL RAVINEAU AUDIT (SIREN 443995337) — Commissaire aux comptes titulaire ; TENTAMUS FRANCE (SIREN 881573661) — Président de SAS,65,5710,,,,https://www.pappers.fr/entreprise/384238523,https://www.societe.com/societe/-384238523.html,Identifié,Qualifier le fit métier (LinkedIn + site web)
8,CND?,non,,LABONOR - LABORATOIRE INTERPROFESSIONNEL DU LAIT,LABONOR - LABORATOIRE INTERPROFESSIONNEL DU LAIT,780997334,78099733400021,71.20B,"Analyses, essais et inspections techniques",PME,12,20 à 49 salariés,2023,2,1900-01-01,2024-05-19T17:01:20,ZI LE CARDONNOY RUE DOCTEUR LEJEUNE 76390 AUMALE,76390,AUMALE,76,oui,HERVÉ BERTRAND (52 ans) — Administrateur ; SOPHIE BOUGEL (47 ans) — Administrateur ; VIRGINIE BRANLY (46 ans) — Administrateur ; JOËL BRAY (53 ans) — Administrateur ; PIERRE CORROYER (43 ans) — Administrateur ; DOMINIQUE DANGREVILLE (62 ans) — Administrateur ; STANISLAS DE BEAUDRAP (35 ans) — Administrateur ; GILLES DURLIN (60 ans) — Administrateur ; RÉMI GILLET (41 ans) — Administrateur ; EMMANUEL HECQ (51 ans) — Président de SAS ; FRÉDÉRIC HENNART (57 ans) — Administrateur ; ERIC LABBE (58 ans) — Administrateur ; LIONEL LEMAITRE (49 ans) — Administrateur ; ANNE LESAGE (46 ans) — Administrateur ; STÉPHANE LEULLIER (55 ans) — Administrateur ; CHRISTOPHE MAGINOT (55 ans) — Administrateur ; ESTELLE MULET (51 ans) — Administrateur ; JOCELYN PESQUEUX (58 ans) — Administrateur ; VÉRONIQUE PRINTZ (53 ans) — Administrateur ; CÉCILE SIMON (50 ans) — Administrateur ; RÉGIS TRICOTEAUX (54 ans) — Administrateur ; HUBERT VERBEKE (49 ans) — Administrateur ; CÉLINE ZANELLA (41 ans) — Administrateur ; PKF ARSILON COMMISSARIAT AUX COMPTES (SIREN 811599406) — Commissaire aux comptes titulaire,62,5710,,,,https://www.pappers.fr/entreprise/780997334,https://www.societe.com/societe/-780997334.html,Identifié,Qualifier le fit métier (LinkedIn + site web)
8,CND?,non,,MICROPOLLUANTS TECHNOLOGIE,MICROPOLLUANTS TECHNOLOGIE,419849617,41984961700032,71.20B,"Analyses, essais et inspections techniques",PME,12,20 à 49 salariés,2023,1,1998-08-01,2024-05-19T17:01:20,4 RUE DE BORT LES ORGUES 57070 SAINT-JULIEN-LES-METZ,57070,SAINT-JULIEN-LES-METZ,57,oui,FREDERIC DEVILLARD (52 ans) — Commissaire aux comptes suppléant ; PAUL-ERIC MARIE LAFARGUE (57 ans) — Directeur Général ; SANDRINE PETER (60 ans) — Président de SAS ; M.C.A. METHODE CONSEIL AUDIT (SIREN 381292077) — Commissaire aux comptes titulaire,60,5710,,,,https://www.pappers.fr/entreprise/419849617,https://www.societe.com/societe/-419849617.html,Identifié,Qualifier le fit métier (LinkedIn + site web)
