score,axe_detecte,dutreil_probable,signaux_dutreil,denomination,raison_sociale,siren,siret_siege,naf,naf_libelle,categorie,tranche_effectif,tranche_effectif_libelle,annee_effectif,etablissements_ouverts,date_creation,date_maj_rne,adresse_siege,code_postal,commune,departement,siege_dans_zone,dirigeants,dirigeant_age_max,nature_juridique,tel_portable,tel_fixe,email,url_pappers,url_societe,statut_suivi,prochaine_action
8,INDUSTRIE?,non,,CITEC (CITEC),CITEC,394688212,39468821200031,33.20D,"Installation d'équipements électriques, de matériels électroniques et optiques ou d'autres matériels",PME,21,50 à 99 salariés,2023,4,1994-04-01,2024-05-19T17:01:20,36 ROUTE NATIONALE 6 69380 LISSIEU,69380,LISSIEU,69,oui,GERALD PARQUET (65 ans) — Commissaire aux comptes titulaire ; AROBASE CONSEIL (SOCIÉTÉ D'EXPERTISE COMPTABLE ET DE COMMISSARIAT AUX COMPTES) (SIREN 414435545) — Commissaire aux comptes suppléant ; LABEL FRANCE (SIREN 849960703) — Président de SAS,65,5710,,,,https://www.pappers.fr/entreprise/394688212,https://www.societe.com/societe/-394688212.html,Identifié,Qualifier le fit métier (LinkedIn + site web)
8,INDUSTRIE?,non,,CREATION MEDITERRANEE,CREATION MEDITERRANEE,326518669,32651866900212,14.19Z,,PME,12,20 à 49 salariés,2023,18,1983-01-01,2024-05-19T17:01:20,LOT N4 503 RUE SAINT PIERRE 13012 MARSEILLE,13012,MARSEILLE,13,oui,GUY BOUTILLOT (80 ans) — Commissaire aux comptes titulaire ; BERNARD EVANS (76 ans) — Directeur Général ; CHRISTIAN HATCHIK KEUSSEYAN (65 ans) — Président de SAS ; F C AUDIT (SIREN 441212339) — Commissaire aux comptes suppléant,80,5710,,,,https://www.pappers.fr/entreprise/326518669,https://www.societe.com/societe/-326518669.html,Identifié,Qualifier le fit métier (LinkedIn + site web)
8,INDUSTRIE?,non,,HENRY BLANC,HENRY BLANC,317785236,31778523600066,10.83Z,,PME,12,20 à 49 salariés,2023,4,1980-01-01,2024-05-19T17:01:20,ZA LA CAPELETTE 68 BOULEVARD SAINT JEAN 13010 MARSEILLE,13010,MARSEILLE,13,oui,MELANIE FRANCOISE GRASTILLEUR (COTTON) (47 ans) — Administrateur ; DRAMANE KAMARA (44 ans) — Administrateur ; ISABELLE MENESTRIER (57 ans) — Commissaire aux comptes titulaire ; MME BLANC MICHELE MARIE COLETTE (72 ans) — Directeur général délégué ; MR BLANC JEAN LUC (62 ans) — Président du conseil d'administration et directeur général ; COMPAGNIE PHOCEENNE DE CONTROLE COMPTABLE ET DE REVISION INDICIAIRE (SIREN 334990256) — Commissaire aux comptes suppléant,72,5599,,,,https://www.pappers.fr/entreprise/317785236,https://www.societe.com/societe/-317785236.html,Identifié,Qualifier le fit métier (LinkedIn + site web)
8,INDUSTRIE?,non,,KLA-TENCOR FRANCE SARL (KLA +),KLA-TENCOR FRANCE SARL,332126309,33212630900142,33.13Z,Réparation d'équipements électroniques et optiques,PME,21,50 à 99 salariés,2023,4,1985-01-01,2024-05-19T17:01:20,387 AVENUE JEAN KUNTZMANN 38330 MONTBONNOT-SAINT-MARTIN,38330,MONTBONNOT-SAINT-MARTIN,38,oui,BREN DOUGLAS HIGGINS (56 ans) — Gérant ; VIRENDRA ARVIND KIRLOSKAR (63 ans) — Gérant ; PRICEWATERHOUSECOOPERS AUDIT (SIREN 672006483) — Commissaire aux comptes titulaire,63,5499,,,,https://www.pappers.fr/entreprise/332126309,https://www.societe.com/societe/-332126309.html,Identifié,Qualifier le fit métier (LinkedIn + site web)
8,INDUSTRIE?,non,,LIB INDUSTRIES,LIB INDUSTRIES,700200124,70020012400019,23.61Z,,PME,12,20 à 49 salariés,2023,7,1970-01-01,2024-05-19T17:01:20,LD LA BEGUDE DE VERS 30210 VERS-PONT-DU-GARD,30210,VERS-PONT-DU-GARD,30,oui,ERIC ASTEGIANO (63 ans) — Directeur Général ; JEAN LOUIS GAZIELLO (69 ans) — Directeur Général ; B.F.A. - BEZIAT FIDUCIAIRE ET AUDIT (SIREN 413656331) — Commissaire aux comptes suppléant ; FRANCE LANGUEDOC REVISION (SIREN 439850538) — Commissaire aux comptes titulaire ; SOBEG (SIREN 912647500) — Président de SAS,69,5710,,,,https://www.pappers.fr/entreprise/700200124,https://www.societe.com/societe/-700200124.html,Identifié,Qualifier le fit métier (LinkedIn + site web)
7,INDUSTRIE?,non,,HYDROCHEM,HYDROCHEM,400536462,40053646200049,25.61Z,,PME,12,20 à 49 salariés,2023,4,1995-03-08,2024-05-19T17:01:20,615 CHEMIN DES PLANTAS 26290 DONZERE,26290,DONZERE,26,oui,CYRIL STEPHANE VALERIE TOPIN (TOPIN) (55 ans) — Directeur Général ; ROGIER ET ASSOCIES (SIREN 378877674) — Commissaire aux comptes titulaire ; C.C.G (SIREN 810403923) — Président de SAS,55,5710,,,,https://www.pappers.fr/entreprise/400536462,https://www.societe.com/societe/-400536462.html,Identifié,Qualifier le fit métier (LinkedIn + site web)
7,INDUSTRIE?,non,,RAMPAL PATOU (RAMPAL POURTOUS),RAMPAL PATOU,453810756,45381075600065,20.42Z,,PME,12,20 à 49 salariés,2023,7,2004-06-02,2024-05-19T17:01:20,ZAC DE LA CRAU 201 IMPASSE GASPARD MONGE 13300 SALON-DE-PROVENCE,13300,SALON-DE-PROVENCE,13,oui,JEAN-LOUIS MICHEL DENIS PLOT (58 ans) — Gérant ; AUDIT ET FINANCE (SIREN 439872755) — Commissaire aux comptes suppléant ; AXYS AUDIT (SIREN 492690730) — Commissaire aux comptes titulaire,58,5499,,,,https://www.pappers.fr/entreprise/453810756,https://www.societe.com/societe/-453810756.html,Identifié,Qualifier le fit métier (LinkedIn + site web)
7,INDUSTRIE?,non,,SAVONNERIE MARSEILLAISE DE LA LICORNE (SML),SAVONNERIE MARSEILLAISE DE LA LICORNE,415303387,41530338700021,20.41Z,,PME,11,10 à 19 salariés,2023,6,1998-01-06,2024-05-19T17:01:20,34 COURS JULIEN 13006 MARSEILLE,13006,MARSEILLE,13,oui,SERGE BRUNA (64 ans) — Président de SAS,64,5710,,,,https://www.pappers.fr/entreprise/415303387,https://www.societe.com/societe/-415303387.html,Identifié,Qualifier le fit métier (LinkedIn + site web)
7,INDUSTRIE?,non,,SOCIETE D'AFFINAGE ET APPRETS DE METAUX PRECIEUX (S.A.A.M.P),SOCIETE D'AFFINAGE ET APPRETS DE METAUX PRECIEUX,381591437,38159143700136,32.12Z,,PME,11,10 à 19 salariés,2023,14,1991-01-07,2024-05-19T17:01:20,DOMAINE DE PROVENCE 625 RUE SANS SOUCI 69760 LIMONEST,69760,LIMONEST,69,oui,JEAN-LUC ALBERT ESCARD (77 ans) — Président de SAS ; ELISABETH ESPÉRANCE ESCARD (PEREZ) (70 ans) — Directeur Général ; SYNTHESE REVISION EXPERTISE COMPTABLE (SIREN 300155819) — Commissaire aux comptes titulaire,77,5710,,,,https://www.pappers.fr/entreprise/381591437,https://www.societe.com/societe/-381591437.html,Identifié,Qualifier le fit métier (LinkedIn + site web)
6,INDUSTRIE?,non,,AAF FRANCE,AAF FRANCE,775574213,77557421300010,28.25Z,,PME,21,50 à 99 salariés,2023,7,1968-01-01,2024-05-19T17:01:20,RUE WILLIAM DIAN 27620 GASNY,27620,GASNY,27,non,PAUL SENNETT (60 ans) — Président de SAS ; B.E.A.S. SARL (SIREN 315172445) — Commissaire aux comptes suppléant ; DELOITTE & ASSOCIES (SIREN 572028041) — Commissaire aux comptes titulaire,60,5710,,,,https://www.pappers.fr/entreprise/775574213,https://www.societe.com/societe/-775574213.html,Identifié,Qualifier le fit métier (LinkedIn + site web)
